                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4819,                 1.7202,                0.86856,                 0.7459,                 0.3347,                0.35612,                0.20383,                 1.3124,                 0.9474,                 0.8228,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.3395,                0.81501,                 0.8267,                0.76899,                0.50486,                0.55256,                0.32491,                 1.1627,                 0.9177,                0.80903,             0.00081451,             0.00081451,             0.00081451
                      3,                 1.2966,                0.75059,                0.82246,                 0.7842,                0.51516,                0.56848,                0.33084,                 1.2174,                0.72506,                0.82244,              0.0012148,              0.0012148,              0.0012148
                      4,                 1.2594,                0.69114,                0.82007,                0.80709,                0.45058,                0.52387,                0.31215,                 1.1557,                0.74937,                0.81073,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1942,                0.64442,                0.81368,                0.78919,                0.51283,                 0.5697,                0.35756,                 1.1134,                0.63441,                0.80811,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.1714,                0.62344,                0.81278,                0.88212,                0.64084,                0.68555,                0.44131,                 1.0085,                0.54794,                0.80234,              0.0012005,              0.0012005,              0.0012005
                      7,                  1.133,                0.58462,                0.80846,                0.78581,                 0.6521,                0.68791,                0.44319,                0.96124,                0.52528,                0.79856,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.1259,                0.57249,                0.80674,                0.84073,                0.60304,                0.69231,                0.44022,                0.98885,                0.54167,                0.80196,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.1343,                0.57585,                0.80802,                 0.8184,                0.61607,                0.70071,                 0.4604,                0.95849,                0.54637,                0.79959,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.1335,                0.56995,                0.80611,                0.80234,                0.59168,                 0.7017,                0.44246,                 1.0185,                0.53999,                0.79994,               0.001151,               0.001151,               0.001151
                     11,                 1.1147,                0.55375,                0.80586,                0.75062,                0.65676,                0.71932,                  0.452,                0.98258,                0.53985,                0.80097,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.1051,                0.54547,                  0.804,                0.74055,                0.62364,                0.70828,                0.44174,                 1.1115,                0.56313,                  0.806,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.0892,                0.54992,                0.80753,                0.80933,                 0.6223,                0.71451,                0.45166,                0.96597,                 0.5248,                0.79947,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.0444,                0.53412,                0.80153,                0.84208,                0.63963,                0.73438,                0.47067,                0.97206,                0.50982,                0.79962,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.0838,                0.53493,                0.80329,                 0.7207,                0.66525,                0.71271,                 0.4694,                 0.9494,                 0.5135,                0.79691,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.0564,                 0.5103,                0.80023,                0.84053,                0.67694,                0.74792,                0.46979,                0.95683,                0.50359,                0.79585,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.0747,                0.51602,                0.79889,                0.82724,                0.71515,                0.77388,                0.47248,                 1.0699,                 0.5141,                0.80212,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.0437,                0.50283,                0.79792,                0.83442,                 0.7099,                0.75503,                0.47316,                0.98506,                 0.5166,                0.79875,               0.001052,               0.001052,               0.001052
                     19,                0.99098,                0.47624,                0.79621,                0.80725,                0.70843,                0.73803,                0.47989,                0.94315,                0.48902,                0.79667,              0.0010396,              0.0010396,              0.0010396
                     20,                 1.0022,                 0.4762,                0.79554,                0.83704,                0.68116,                 0.7409,                0.49157,                0.88395,                0.47427,                  0.793,              0.0010273,              0.0010273,              0.0010273
                     21,                0.98867,                0.48726,                0.79701,                0.82255,                0.66201,                0.72599,                0.48431,                0.91911,                0.49376,                0.79583,              0.0010149,              0.0010149,              0.0010149
                     22,                 1.0481,                0.50598,                  0.801,                0.79322,                0.67056,                0.72152,                0.47297,                0.95236,                0.50292,                0.79837,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.0344,                0.50163,                0.79808,                0.81596,                0.72252,                0.77614,                0.49756,                0.96249,                0.48886,                0.79562,             0.00099013,             0.00099013,             0.00099013
                     24,                0.98128,                0.47575,                0.79664,                0.87367,                0.69032,                0.76501,                0.48689,                0.94097,                0.49271,                0.79742,             0.00097775,             0.00097775,             0.00097775
